cidade,estado,area,num_quartos,num_banheiros,num_andares,aceita_animais,mobilia,valor_aluguel,valor_condominio,valor_iptu,valor_seguro_incendio
2,2,100.0,3,2,2,1,0,1600.0,340.0,183.0,22
0,0,94.0,3,2,1,1,0,3570.0,1337.0,140.0,46
0,0,94.0,3,3,3,1,1,5010.0,1220.0,395.0,64
0,0,76.0,3,1,4,1,0,2500.0,1200.0,267.0,32
0,0,192.0,3,3,13,1,0,7800.0,2100.0,634.0,99
0,0,217.0,3,4,1,1,0,6500.0,2884.0,0.0,83
0,0,68.0,2,1,5,1,0,1400.0,610.0,35.0,18
0,0,110.0,3,2,2,1,0,2400.0,1145.0,247.0,31
2,2,95.0,2,2,3,1,0,1600.0,660.0,164.0,22
0,0,900.0,4,6,1,1,0,15000.0,0.0,4417.0,226
0,0,34.0,1,1,5,0,0,1200.0,347.0,45.0,16
0,0,192.0,3,4,5,1,0,8000.0,2000.0,0.0,102
3,3,62.0,2,2,9,1,0,1800.0,350.0,75.0,27
0,0,180.0,3,3,1,1,0,3700.0,0.0,184.0,56
4,0,44.0,1,1,3,1,1,916.0,350.0,12.0,12
2,2,100.0,2,1,1,0,0,1700.0,250.0,116.0,23
1,1,140.0,3,3,24,0,0,1370.0,900.0,100.0,18
0,0,170.0,3,3,8,1,1,2800.0,1570.0,648.0,36
0,0,100.0,3,2,1,0,0,1600.0,0.0,150.0,25
0,0,75.0,3,2,4,1,0,1600.0,652.0,82.0,21
1,1,52.0,2,1,2,1,0,1200.0,200.0,43.0,16
4,0,999.0,5,7,1,1,0,14000.0,0.0,667.0,211
0,0,270.0,4,4,8,1,0,7000.0,2200.0,1500.0,89
2,2,50.0,2,1,1,1,0,930.0,160.0,60.0,13
4,0,200.0,3,3,1,1,0,2210.0,650.0,184.0,34
0,0,71.0,2,2,16,1,0,1920.0,430.0,100.0,25
0,0,500.0,5,4,1,1,0,13000.0,0.0,250.0,196
0,0,60.0,2,1,1,1,0,1080.0,0.0,94.0,17
0,0,110.0,2,1,8,1,0,1300.0,1100.0,84.0,17
0,0,210.0,3,3,1,1,0,3294.0,0.0,276.0,50
0,0,220.0,3,4,8,1,0,6000.0,2021.0,996.0,77
2,2,200.0,3,2,1,0,0,4000.0,0.0,204.0,66
0,0,130.0,3,4,2,1,0,4250.0,2300.0,502.0,54
0,0,65.0,2,2,7,1,1,4000.0,1037.0,245.0,51
0,0,96.0,3,2,17,1,0,3200.0,804.0,250.0,41
0,0,660.0,4,5,12,1,1,20000.0,4800.0,1750.0,254
1,1,107.0,3,2,7,1,1,3200.0,1460.0,270.0,42
1,1,105.0,3,2,1,1,0,2200.0,740.0,9.0,29
1,1,100.0,3,2,7,1,0,3290.0,900.0,109.0,43
0,0,287.0,3,4,1,1,1,9000.0,0.0,430.0,136
4,0,24.0,1,1,1,0,1,1180.0,230.0,9.0,15
0,0,22.0,1,1,1,0,0,976.0,0.0,0.0,15
0,0,70.0,1,1,1,0,0,2529.0,0.0,142.0,39
3,3,44.0,1,1,2,1,1,1500.0,250.0,17.0,22
0,0,150.0,3,2,1,0,0,2500.0,0.0,0.0,38
0,0,90.0,1,2,9,1,1,2900.0,998.0,220.0,37
0,0,200.0,4,4,8,1,1,2800.0,3000.0,830.0,36
0,0,320.0,8,4,1,1,0,10500.0,450.0,350.0,158
3,3,90.0,2,1,2,0,0,1700.0,550.0,110.0,25
0,0,240.0,4,4,9,1,0,2144.0,2500.0,834.0,28
0,0,154.0,4,3,21,1,0,7000.0,1684.0,1020.0,89
0,0,60.0,2,2,2,1,0,3230.0,2340.0,284.0,41
4,0,101.0,3,2,5,1,0,2380.0,780.0,91.0,31
3,3,140.0,3,4,1,0,0,3090.0,0.0,0.0,55
0,0,500.0,4,5,1,1,0,15000.0,0.0,1850.0,226
0,0,110.0,3,3,4,1,0,2350.0,1195.0,687.0,30
0,0,110.0,3,3,1,1,0,4800.0,0.0,50.0,73
2,2,90.0,2,2,3,1,0,2000.0,200.0,84.0,27
0,0,384.0,4,6,3,0,1,15000.0,3500.0,344.0,191
0,0,57.0,2,1,7,1,0,1500.0,570.0,67.0,20
0,0,160.0,3,3,5,1,1,1500.0,1650.0,419.0,20
0,0,39.0,1,1,8,1,0,1250.0,330.0,19.0,16
4,0,78.0,1,2,4,1,0,2290.0,0.0,143.0,30
3,3,36.0,1,1,1,1,0,762.0,0.0,15.0,14
4,0,70.0,2,1,1,1,0,1200.0,558.0,0.0,16
2,2,45.0,1,1,4,0,1,3200.0,300.0,0.0,43
0,0,200.0,3,4,1,1,0,8500.0,3500.0,1250.0,108
0,0,100.0,3,3,1,1,0,4300.0,0.0,120.0,65
0,0,42.0,1,1,14,0,0,5000.0,0.0,0.0,64
0,0,280.0,4,4,1,1,1,8000.0,3000.0,292.0,102
0,0,28.0,1,1,13,0,1,2800.0,615.0,42.0,36
0,0,30.0,1,1,1,0,1,1826.0,296.0,30.0,24
2,2,85.0,3,2,1,1,0,1500.0,337.0,88.0,20
4,0,83.0,1,1,4,0,0,1080.0,500.0,59.0,14
4,0,85.0,3,2,16,1,1,3300.0,550.0,150.0,42
2,2,90.0,3,2,3,1,0,1600.0,325.0,105.0,22
2,2,50.0,2,1,5,1,0,900.0,0.0,100.0,12
1,1,50.0,1,1,8,1,0,2900.0,600.0,134.0,38
2,2,300.0,3,2,1,0,0,6700.0,0.0,539.0,110
3,3,39.0,1,1,7,1,0,850.0,350.0,27.0,13
0,0,750.0,4,4,1,1,0,15000.0,0.0,2084.0,226
3,3,60.0,2,1,1,1,0,1100.0,222.0,46.0,17
1,1,68.0,2,1,4,0,0,1250.0,750.0,9.0,17
0,0,70.0,2,1,1,1,0,1250.0,230.0,50.0,16
0,0,90.0,2,2,6,1,1,6500.0,900.0,89.0,83
1,1,258.0,5,6,1,1,0,8700.0,0.0,670.0,133
0,0,200.0,2,2,1,1,0,4500.0,0.0,292.0,68
0,0,123.0,2,2,6,1,0,2990.0,1800.0,625.0,38
0,0,127.0,3,2,1,1,1,2150.0,220.0,67.0,33
2,2,180.0,4,2,1,1,0,1800.0,0.0,210.0,30
0,0,110.0,3,2,1,0,0,2900.0,0.0,384.0,44
1,1,70.0,2,2,7,1,1,1719.0,585.0,77.0,23
0,0,35.0,1,1,8,1,1,3000.0,720.0,130.0,39
0,0,219.0,3,2,1,1,0,2900.0,0.0,150.0,44
1,1,25.0,1,1,1,1,0,700.0,50.0,0.0,10
1,1,170.0,4,5,10,1,0,7100.0,1200.0,639.0,92
1,1,45.0,1,1,8,1,0,1570.0,900.0,98.0,21
2,2,420.0,4,4,1,0,0,7000.0,0.0,200.0,115
3,3,46.0,1,1,4,1,0,1040.0,0.0,48.0,16
0,0,145.0,3,3,1,1,1,5800.0,1088.0,250.0,74
2,2,59.0,2,2,2,1,0,1100.0,190.0,59.0,15
2,2,225.0,4,3,8,1,0,7500.0,1850.0,466.0,100
0,0,210.0,4,4,3,1,0,4675.0,2270.0,1110.0,60
3,3,76.0,1,1,1,1,0,1249.0,209.0,52.0,19
0,0,220.0,3,4,2,0,0,5150.0,2500.0,1250.0,66
0,0,109.0,3,2,7,1,0,2500.0,1746.0,134.0,32
2,2,95.0,2,1,3,1,0,1000.0,646.0,120.0,14
0,0,32.0,1,1,1,0,0,1500.0,280.0,50.0,20
0,0,480.0,4,6,9,1,0,15000.0,6660.0,3063.0,191
0,0,53.0,1,1,3,1,0,4390.0,694.0,200.0,56
0,0,40.0,1,1,1,0,0,780.0,0.0,17.0,12
0,0,50.0,1,1,4,1,1,3223.0,500.0,100.0,41
0,0,60.0,1,1,1,1,0,1300.0,0.0,255.0,20
3,3,64.0,2,2,7,0,0,1500.0,450.0,50.0,22
1,1,140.0,3,3,4,1,1,12000.0,2280.0,535.0,155
0,0,121.0,3,3,12,1,0,2040.0,800.0,334.0,26
4,0,43.0,1,1,4,1,1,2100.0,498.0,84.0,27
0,0,20.0,1,1,3,0,1,1360.0,1700.0,0.0,18
4,0,58.0,2,1,3,1,0,950.0,289.0,11.0,13
2,2,570.0,5,6,1,1,1,8330.0,0.0,873.0,137
0,0,88.0,2,1,2,1,0,2790.0,980.0,0.0,36
0,0,89.0,3,2,19,1,0,6000.0,900.0,184.0,77
3,3,47.0,1,1,1,0,1,2200.0,400.0,0.0,33
0,0,40.0,1,1,1,1,0,1100.0,0.0,50.0,17
1,1,40.0,1,1,1,1,1,1950.0,386.0,91.0,26
1,1,60.0,1,2,3,1,0,750.0,400.0,80.0,10
0,0,25.0,1,1,14,1,0,1650.0,257.0,0.0,21
3,3,50.0,2,1,13,1,0,1130.0,340.0,30.0,17
3,3,90.0,3,1,1,1,0,1130.0,145.0,55.0,17
0,0,173.0,3,3,2,1,0,2000.0,3000.0,825.0,26
4,0,91.0,3,2,12,1,0,2250.0,700.0,175.0,29
0,0,90.0,3,2,6,0,0,1200.0,1710.0,109.0,16
0,0,530.0,5,6,2,1,1,15000.0,8300.0,5000.0,191
2,2,155.0,1,4,4,0,0,2790.0,1117000.0,64.0,38
0,0,40.0,1,1,1,0,0,1300.0,0.0,0.0,17
0,0,296.0,4,5,3,1,0,15000.0,0.0,0.0,191
0,0,87.0,3,2,17,1,0,1400.0,850.0,200.0,18
0,0,300.0,3,3,1,1,0,5000.0,0.0,584.0,76
0,0,136.0,3,3,13,1,0,4206.0,1430.0,364.0,54
0,0,52.0,2,1,4,1,0,1340.0,0.0,0.0,17
3,3,94.0,2,2,8,1,0,2900.0,600.0,230.0,43
1,1,300.0,4,5,7,1,0,12750.0,3850.0,750.0,165
1,1,100.0,3,3,3,1,0,3229.0,850.0,100.0,42
0,0,500.0,4,6,1,1,0,7300.0,6466.0,2536.0,110
0,0,240.0,3,4,3,1,1,4950.0,3600.0,1000.0,63
2,2,308.0,2,3,1,1,0,2000.0,0.0,171.0,33
0,0,350.0,4,5,15,1,1,4590.0,2700.0,1334.0,59
0,0,75.0,2,2,2,1,0,1450.0,570.0,0.0,19
0,0,155.0,3,2,4,1,1,11700.0,2600.0,667.0,149
0,0,260.0,3,5,12,1,0,6000.0,2227.0,1468.0,77
0,0,80.0,2,2,1,0,0,1500.0,0.0,184.0,23
1,1,85.0,3,1,6,1,0,1998.0,810.0,87.0,26
0,0,120.0,2,2,22,0,1,3500.0,1400.0,375.0,45
0,0,100.0,2,2,1,1,0,1970.0,0.0,0.0,30
0,0,240.0,4,5,6,0,0,3500.0,1869.0,717.0,45
0,0,360.0,7,6,1,1,0,5270.0,0.0,245.0,80
0,0,42.0,1,1,1,0,0,1100.0,0.0,0.0,17
0,0,33.0,1,1,14,1,1,2800.0,600.0,112.0,36
1,1,48.0,1,1,1,0,0,1020.0,626.0,53.0,14
1,1,36.0,1,1,5,1,0,1130.0,350.0,42.0,15
0,0,270.0,6,3,1,1,0,4500.0,0.0,417.0,68
4,0,75.0,2,1,2,1,0,1200.0,670.0,121.0,16
1,1,46.0,2,1,3,0,0,1600.0,270.0,0.0,21
0,0,350.0,3,3,1,0,0,10000.0,0.0,1292.0,151
3,3,131.0,3,3,10,1,1,1750.0,1625.0,121.0,26
4,0,90.0,3,2,3,1,0,1300.0,920.0,129.0,17
1,1,26.0,1,1,4,0,0,1650.0,390.0,120.0,22
1,1,44.0,1,1,3,1,1,1100.0,400.0,14.0,15
0,0,70.0,2,2,1,1,0,1880.0,0.0,0.0,29
2,2,40.0,1,1,1,0,0,900.0,0.0,0.0,15
2,2,320.0,4,2,1,1,0,3200.0,0.0,206.0,53
0,0,213.0,2,2,1,1,0,5150.0,0.0,0.0,78
0,0,80.0,2,1,1,0,0,1100.0,0.0,0.0,14
4,0,70.0,1,1,6,1,0,800.0,500.0,30.0,11
1,1,60.0,2,1,5,1,0,1500.0,690.0,25.0,20
0,0,270.0,4,4,5,1,0,12850.0,4500.0,1834.0,163
1,1,70.0,2,1,3,1,0,1300.0,800.0,44.0,17
3,3,300.0,6,2,1,1,0,6000.0,0.0,242.0,107
0,0,220.0,4,5,14,1,1,12000.0,2050.0,750.0,153
3,3,64.0,2,2,7,1,0,1600.0,450.0,34.0,24
1,1,80.0,3,3,7,0,0,1470.0,1100.0,0.0,19
0,0,56.0,1,1,9,1,1,2500.0,625.0,81.0,32
0,0,161.0,4,3,1,1,0,10000.0,1450.0,467.0,127
0,0,35.0,1,1,1,1,0,1350.0,350.0,0.0,18
0,0,720.0,4,6,1,1,1,12750.0,0.0,2613.0,192
0,0,280.0,4,5,6,0,0,3200.0,2500.0,750.0,41
3,3,96.0,3,2,2,1,0,2100.0,408.0,84.0,31
4,0,236.0,3,4,10,1,0,11000.0,1600.0,440.0,140
0,0,81.0,3,2,4,1,0,1510.0,204.0,0.0,20
0,0,62.0,2,1,1,1,0,1650.0,580.0,92.0,21
2,2,125.0,3,2,2,1,0,1200.0,150.0,69.0,16
0,0,37.0,1,1,6,1,1,4150.0,890.0,110.0,53
0,0,60.0,2,2,11,1,0,4000.0,1680.0,200.0,51
0,0,230.0,4,2,1,1,0,5000.0,3600.0,1551.0,64
0,0,210.0,4,5,1,1,1,8500.0,3800.0,0.0,108
0,0,450.0,4,3,1,1,0,14000.0,0.0,175.0,211
0,0,234.0,3,5,1,1,1,3680.0,0.0,400.0,56
2,2,135.0,4,3,2,0,0,2450.0,868.0,308.0,33
0,0,395.0,4,5,1,1,0,6000.0,0.0,122.0,91
3,3,92.0,2,2,2,1,0,1700.0,450.0,67.0,25
0,0,412.0,3,5,21,1,0,3952.0,2000.0,459.0,51
0,0,42.0,1,1,27,1,0,5300.0,560.0,100.0,68
0,0,33.0,1,1,12,0,1,3000.0,385.0,125.0,39
3,3,28.0,2,1,1,1,0,600.0,0.0,0.0,11
0,0,190.0,4,4,1,0,0,4450.0,0.0,223.0,67
0,0,165.0,4,3,10,1,1,6300.0,2440.0,1292.0,80
3,3,44.0,1,1,5,1,0,1200.0,355.0,20.0,18
0,0,60.0,2,1,4,1,0,1275.0,603.0,109.0,17
0,0,380.0,3,3,1,1,0,11000.0,3580.0,1084.0,140
1,1,73.0,2,1,4,1,0,830.0,375.0,120.0,11
2,2,19.0,1,1,5,1,0,1100.0,620.0,85.0,15
4,0,230.0,3,5,6,1,0,7500.0,1800.0,0.0,96
3,3,37.0,1,1,2,1,0,2500.0,500.0,0.0,37
0,0,124.0,3,2,7,1,0,6600.0,1450.0,300.0,84
1,1,115.0,3,2,8,1,1,2680.0,1090.0,114.0,35
4,0,600.0,3,3,1,1,0,5500.0,0.0,384.0,83
1,1,700.0,5,5,1,1,1,15000.0,1380.0,1667.0,229
3,3,35.0,1,1,1,1,0,815.0,100.0,17.0,12
2,2,15.0,1,1,3,0,1,1100.0,0.0,0.0,15
4,0,80.0,3,2,2,1,0,1450.0,570.0,125.0,19
3,3,48.0,1,1,4,1,0,700.0,200.0,38.0,11
2,2,96.0,3,2,2,1,0,1500.0,922.0,137.0,20
0,0,150.0,3,2,7,1,1,6715.0,1843.0,340.0,86
2,2,105.0,3,2,2,0,0,3300.0,1681.0,390.0,44
2,2,204.0,4,4,22,0,1,10000.0,2701.0,760.0,134
1,1,125.0,3,1,11,1,0,2600.0,1317.0,170.0,33
1,1,50.0,2,1,3,0,0,2300.0,490.0,50.0,30
0,0,250.0,3,4,1,0,0,3740.0,0.0,234.0,57
0,0,300.0,3,4,7,1,1,2000.0,3000.0,1250.0,26
0,0,80.0,2,1,1,1,0,1500.0,0.0,55.0,23
1,1,130.0,3,4,2,0,0,1400.0,1200.0,334.0,19
0,0,120.0,2,3,2,1,0,3300.0,904.0,195.0,42
0,0,540.0,3,3,9,1,0,15000.0,6200.0,3500.0,191
0,0,23.0,1,1,23,1,0,2100.0,392.0,41.0,27
0,0,15.0,1,1,1,0,1,2500.0,0.0,0.0,32
0,0,72.0,1,2,19,1,0,4000.0,900.0,200.0,51
1,1,95.0,3,2,7,1,0,2300.0,985.0,122.0,30
0,0,330.0,4,5,13,1,0,10000.0,2870.0,1119.0,127
0,0,75.0,2,2,7,0,1,6600.0,1600.0,400.0,84
0,0,53.0,1,1,4,1,0,4398.0,690.0,200.0,56
0,0,178.0,3,2,2,0,0,1900.0,1200.0,180.0,25
0,0,150.0,3,2,1,1,0,4000.0,0.0,24.0,61
0,0,50.0,2,1,4,1,0,1200.0,520.0,30.0,16
0,0,150.0,3,2,1,0,0,2500.0,0.0,59.0,38
3,3,25.0,1,1,1,1,1,984.0,286.0,11.0,15
0,0,210.0,3,4,13,0,0,12000.0,3150.0,1155.0,153
2,2,75.0,3,2,4,1,0,1500.0,600.0,75.0,20
2,2,200.0,2,4,12,1,0,15000.0,1897.0,827.0,200
0,0,350.0,4,4,1,1,0,8000.0,0.0,989.0,121
3,3,49.0,2,1,7,1,0,1150.0,360.0,30.0,17
3,3,40.0,1,1,4,0,1,2000.0,0.0,0.0,30
0,0,45.0,1,1,2,0,1,4200.0,1900.0,350.0,54
0,0,46.0,1,1,8,0,1,7600.0,900.0,118.0,97
0,0,80.0,2,2,15,1,0,11000.0,2000.0,0.0,140
0,0,30.0,1,1,3,1,1,2850.0,400.0,0.0,37
0,0,80.0,2,2,1,1,0,2200.0,50.0,173.0,34
1,1,105.0,2,2,10,1,0,1530.0,1780.0,134.0,20
2,2,105.0,3,2,7,1,0,2000.0,1170.0,219.0,27
0,0,114.0,3,1,1,1,0,2570.0,0.0,150.0,39
0,0,200.0,3,3,1,1,0,7000.0,0.0,425.0,106
3,3,120.0,3,3,5,1,0,3000.0,800.0,167.0,44
0,0,60.0,2,2,11,1,0,4000.0,647.0,21.0,51
0,0,90.0,2,1,1,1,0,3000.0,1000.0,50.0,39
1,1,53.0,2,1,3,0,0,1800.0,535.0,50.0,24
0,0,80.0,2,2,1,1,0,3000.0,0.0,59.0,46
4,0,87.0,4,2,4,1,0,1600.0,784.0,106.0,21
1,1,110.0,3,1,1,1,0,5000.0,557.0,188.0,65
2,2,113.0,4,2,3,1,0,4000.0,1587.0,429.0,54
0,0,170.0,3,2,5,0,0,5000.0,2199.0,423.0,64
0,0,150.0,3,2,1,0,0,3000.0,700.0,42.0,39
3,3,60.0,2,2,11,1,0,1500.0,469.0,51.0,22
3,3,43.0,1,1,4,0,1,2100.0,290.0,66.0,31
0,0,130.0,3,2,4,1,1,3500.0,800.0,0.0,45
0,0,69.0,3,2,7,1,1,1900.0,650.0,185.0,25
4,0,306.0,3,2,1,1,0,2500.0,0.0,422.0,38
0,0,187.0,3,2,1,1,0,3500.0,500.0,193.0,53
0,0,385.0,3,4,1,1,0,9000.0,0.0,1500.0,136
0,0,355.0,4,4,1,1,0,7300.0,0.0,660.0,110
3,3,90.0,2,1,2,1,0,1100.0,405.0,380.0,17
0,0,190.0,3,4,1,1,0,5000.0,0.0,275.0,76
4,0,181.0,2,1,1,1,0,1400.0,0.0,132.0,22
0,0,350.0,3,5,13,1,0,3490.0,4000.0,1750.0,45
2,2,168.0,5,3,2,1,0,2900.0,1443.0,408.0,39
1,1,73.0,2,1,1,1,0,2800.0,1600.0,204.0,37
0,0,378.0,5,5,4,1,0,3000.0,4000.0,2000.0,39
4,0,60.0,2,1,1,1,0,1300.0,0.0,180.0,20
2,2,362.0,4,5,19,0,0,15000.0,4138.0,1975.0,200
0,0,90.0,3,2,1,1,0,1700.0,0.0,136.0,26
1,1,42.0,1,1,4,0,1,1973.0,500.0,79.0,26
1,1,56.0,2,1,18,1,0,1000.0,568.0,88.0,13
0,0,16.0,1,1,1,0,0,850.0,0.0,30.0,11
0,0,90.0,2,2,15,0,1,10000.0,1400.0,0.0,127
2,2,67.0,1,1,13,1,0,850.0,375.0,55.0,12
